offer_id,name,offer_type,category,content,channel,points,exclusion_category,benefit_type,point_type,program_code,program_name,program_tier,program_point_type,product_category,product_code,product_name,season,month,week_day,holiday,week_end,birth_day,wedding_anniversary,duration,start_date,end_date,,partner_category,partner_code,partner_name,partner_type,targetted_age,targetted_nationality,targetted_preference_group,targetted_gender,targetted_type,targetted_tier,targetted_channel,targetted_marital_status,discount_percentage
O0011,1 point per $1 ,,Coupons,Make a purchase 1 point per $1 . Earn point for every Dollar you spend for a minium of $50 purchase,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Jul-19,31-Oct-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0012,Friend-50,,Coupons,Refer a friend earn 50 points,Web,50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Jul-19,31-Oct-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,
O0013,$10 off 100 points,Redemption,Discounts,Redeem points for discounts,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Apr-19,31-Jul-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,10
O0014,15% Off 100 Points,Redemption,Discounts,Redeem points for discounts,Web,100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P052,Redeem offers,,,,,,,,,01-Apr-19,31-Jul-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,Web,All,15
O0015,30$ off 280 points,Redemption,Discounts,Redeem points for discounts,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P052,Redeem offers,,,,,,,,,01-Jul-19,31-Aug-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Gold,Web,All,5
O0016,Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P060,Target Discounts,,,,,,,,,01-Jul-19,31-Aug-19,,,TC,Target Corp,Retail,All,US,,,,Bronze,Web,All,10
O0017,Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,Web,150,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P060,Target Discounts,,,,,,,,,01-Jul-19,31-Aug-19,,,TC,Target Corp,Retail,All,US,,,,Bronze,Web,All,15
O0018,Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P060,Target Discounts,,,,,,,,,01-Jul-19,31-Aug-19,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,,Gold,Web,All,25
O0019,Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P067,Walmart discounts,,,,,,,,,01-Jul-19,31-Dec-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,Web,All,10
O0020,Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P067,Walmart discounts,,,,,,,,,01-Jul-19,31-Dec-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,Web,All,15
O0021,Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,Web,100,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P067,Walmart discounts,,,,,,,,,01-Jul-19,31-Dec-19,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,,Gold,Web,All,25
O0022,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,Web,300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,Winter,,,,,,,,01-Jul-19,31-Dec-19,,,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,Web,All,
O0023,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,,Anniversary Discounts,,01-Jan-19,31-Mar-19,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0024,Redeem your Starbucks Reward,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Mobile App, SMS",300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,Birthday Offers,,,01-Dec-19,31-Jan-20,,Non Air,SB,Starbucks,Eat,All,US,Individuals,All,,Gold,"Mobile App, SMS",All,
O0025,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 20,Jan,,,Weekend Offers,,,,01-Jan-19,31-May-19,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0026,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 21,Feb,,,Weekend Offers,,,,01-Jan-19,31-May-19,,,UU,Uber,Cab,All,US,Individuals,All,,Bronze,Social Media,All,
O0027,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 22,Jan,,,Weekend Offers,,,,01-Jan-19,31-May-19,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,,Bronze,Social Media,All,
O0028,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,50,,Points,,FFP,Frequent Flyer Program,Bronze,,,P018,Chase Credit Cards,Winter 23,Feb,,,Weekend Offers,,,,01-Jan-19,31-May-19,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0029,JULY 4 15,Accruals ,Discounts,Upto 15% off on Flight Fees,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P006,Airline Fare Discounts,Holiday,July,1,Independence Day,,,,,01-Jul-19,31-Jul-19,,Air,LF,Luftanza,Air,All,US,Individuals,All,,Bronze,Web,All,15
O0030,Buy & Earn Miles with ABC,,Points,"Buy miles now, together sooner. Earn up to 120,000 bonus miles when you buy or gift ABC miles",Web,200,,Points,,FFP,Frequent Flyer Program,Bronze,,,P001,ABC miles,Holiday,,,Vacation,,,,,01-Jul-19,31-Oct-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,Web,,
O0031,Earn miles with ABC,,Points,Earn more miles on your purchase when you use your eligible ABC  credit card.,Web,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P001,ABC miles,Holiday,,,Vacation,,,,,01-Jul-19,31-Oct-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Bronze,Web,,
O0032,Earn 25k Bonus miles,,Points,"Earn 25,000 bonus miles on a future vacation to Jamaica.",Web,2500,,Points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,Holiday,,,Vacation,,,,,01-Jan-19,31-Mar-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,Web,,
O0033,Earn 30K Bonus miles,,Points,"Earn 30,000 bonus miles when you book a vacation to Costa Rica.",Web,3000,,Points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,Holiday,,,Vacation,,,,,01-Jun-19,31-Aug-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Gold,Web,,
O0034,Earn 50k Bonus Miles,,Points,"Earn 50,000 bonus miles when you book a vacation to Paris  with ABC Card",Web,5000,,points,,FFP,Frequent Flyer Program,Platinum,,,P013,Bonus miles,,,,,,,,,01-Jun-19,31-Aug-19,,Air,AA,ABC Card,Credit Card,All,US,Individuals,All,,Platinum,Web,,
O0035,Celebrate Summer Sale 20,Accruals ,Discounts,Save 20%/night to all destinations,Social Media,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P006,Airline Fare Discounts,Holiday,,,Summer,,,,,01-Jul-19,31-Oct-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Bronze,Social Media,,20
O0036,Celebrate Summer Sale 30,Accruals ,Discounts,Save 30%/night to all destinations,Social Media,400,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P006,Airline Fare Discounts,Holiday,,,Summer,,,,,01-Jun-19,31-Aug-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Gold,Social Media,,30
O0037,Celebrate Summer Sale 40,Accruals ,Discounts,Save 40%/night to all destinations,Social Media,500,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,P006,Airline Fare Discounts,Holiday,,,Summer,,,,,01-Jun-19,31-Aug-19,,Air,AM,Americal Airways,Air,All,US,Individuals,All,,Platinum,Social Media,,40
O0038,35% with Budget,Accruals ,Discounts,Save up to 35% with Budget,Web,100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P017,Budget,Holiday,,,Vacation,,,,,01-Jul-19,31-Oct-19,,Non Air,BJT,Budget,Cab,All,US,All,All,,Bronze,Web,All,35
O0039,Earn miles with every stay,,Points,"Book hotels and earn up to 10,000 miles per night on select properties.",Web,200,,Points,,FFP,Frequent Flyer Program,Bronze,,,P040,Marriot,,,,,,,,,01-Jul-19,31-Oct-19,,,MM,Marriot,Hotel,All,US,Individuals,All,,Bronze,Web,Married,
O0040, à la carte - Food & Bev,Accruals ,Discounts,Get 10% off on F&B,Web,200,,Discounts,,,Frequent Flyer Program,Bronze,,,P009,Ancillary-Food & Bev ,,,,,,Birthday,Anniversary,,01-Jul-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,Web,Married,10
O0041, à la carte - Food & Bev- Wine,Accruals ,Discounts,Get 10% off on F&B-Wine,Web,100,not for <18 years of age,Discounts,,,Frequent Flyer Program,Bronze,,,P070,Wine,,,,,,Birthday,Anniversary,,01-Jan-19,31-Mar-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,Web,Married,10
O0042, à la carte - Baggage and excess baggage,Accruals ,Discounts,15% discount on excess baggage,Web,50,,Discounts,,,Frequent Flyer Program,Bronze,,,P011,Baggage,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,Web,Married,15
O0043, à la carte - Seats,Accruals ,Discounts,10% discount on Xleg Seats,Web,50,,Discounts,,,Frequent Flyer Program,Bronze,,,P056,Seats,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,Web,Married,10
O0044,Early Bird 10,Accruals ,Discounts, à la carte - 10% discount on early boarding for F&B,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P026,Early Boarding,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Air,AA,American Airways,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0045,Marriot 15,Accruals ,Discounts, 15% discount at Marriot,"Loyalty Portal , Web",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P040,Marriot,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Non Air,MM,Marriot,Hotel,All,US,Individuals,All,,Bronze,"Loyalty Portal , Web",Married,15
O0046,Uber 10,Accruals ,Discounts,10% discuount with Uber Cabs,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P066,Uber,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Non Air,UU,Uber,Cab,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0047,TI 10,Accruals ,Discounts,10% discount on Travel Insurance with TT insurance,"Loyalty  Portal, Mobile App",50,,Discounts,,,Frequent Flyer Program,Bronze,,,P065,TT Insurance,,,,,,Birthday,Anniversary,,01-Sep-19,31-Oct-19,,Non Air,TI,TT Insurance,Insurance,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",Married,10
O0048,Early Bird  Offer,,Promotions,New Product that’s not officially Launched,"Loyalty  Portal, Mobile App",50,not for <18 years of age,Points,Loyalty Bonus Status Credits,EAP,Early Access Program,Bronze,TLBS,,P045,New Launches,Summer 2020,April ,,,,,,,01-Jan-19,31-Mar-19,,Air,QF,Qantas Airways,,40-65,Europe,Corporates,All,,Bronze,"Loyalty  Portal, Mobile App",Both,
O0049,"4,000 Bonus Points  with AMEx Saphire Card",Accruals ,Promotions,"60,000 Bonus Points [Highest EVER Bonus]  with Chase Saphire Card","Loyalty  Portal, Mobile App",4000,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Saphire,,,P019,Credit Card Offer,Summer 2020,May,,,,,,,01-Jun-19,31-Aug-19,,Non Air,CH,Chase ,Credit Card,30 - 40,US,Individuals,All,,Saphire,"Loyalty  Portal, Mobile App",Both,
O0050," 60,00 Rewards points  with AMEx Platinum Card",,Promotions,"Earn 60,000 Membership Rewards points  with Chase Platinum Card","Loyalty  Portal, Mobile App",6000,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Platinum,,,P019,Credit Card Offer,Summer 2021,May,,,,,,,01-Jan-19,31-Mar-19,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,,Platinum,"Loyalty  Portal, Mobile App",All,
O0051,"35,000  Rewards points with AMEx Gold Card",,Promotions,"Earn 35,000 Membership Rewards points with Chase Gold Card","Loyalty  Portal, Mobile App",250,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P019,Credit Card Offer,Summer 2022,May,,,,,,,01-Jun-19,31-Aug-19,,Non Air,CH,Chase ,Credit Card,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0052,Member Only FFP - Fun 50,Redemption,Promotions,Redeem new products listed exclusively for FFP members,"Loyalty  Portal, Mobile App",250,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,New Year,,,,,01-Jun-19,31-Aug-19,,Air,LH,Luftansa,Airlines,All,US,Corporates,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0053,Member Only - Fun 50 Gold,Redemption,Promotions,Redeem new products listed exclusively for Gold members,"Loyalty  Portal, Mobile App",250,,Discounts,Promotional Status Credits,PSC,Points Related Promotions,Gold,,,P043,Member Only Offers,Fall 2020,Dec,,,,,,,01-Jun-19,31-Aug-19,,Non Air,LH,Luftansa,Airlines,40-65,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0054,Member Only - Fun 50 Platinum,Redemption,Promotions,Redeem new products listed exclusively for Platinummembers ,"Loyalty  Portal, Mobile App",500,,Discounts,,FFP,Frequent Flyer Program,Platinum,,,P043,Member Only Offers,Summer 2020,April ,,,,,,,01-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,,Platinum,"Loyalty  Portal, Mobile App",All,
O0055,Member Only - Fun 50 Br,Redemption,Promotions,Redeem new products listed exclusively for Bronze members,"Loyalty  Portal, Mobile App",50,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P043,Member Only Offers,Summer 2021,May,,,,,,,01-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,
O0056,Member Only - Fun 50 New,Redemption,Promotions,Redeem new products listed exclusively for New members,"Loyalty  Portal, Mobile App",50,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P043,Member Only Offers,Summer 2022,June,,,,,,,01-Jan-19,31-Mar-19,,Non Air,,,,All,,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,
O0057,Join the world for 2000,,Coupons,Join the Loyalty Program account gain 2000 points,"Loyalty  Portal, Mobile App",50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P035,Loyalty Member Addition,,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,
O0058,10 point per $1 ,,Coupons,Make a purchase 10 points per $1 . Earn point for every Dollar you spend,"Loyalty  Portal, Mobile App",50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P036,Loyalty Offers,,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,
O0059,Friend-500,,Coupons,Refer a friend earn 500 points,"Loyalty  Portal, Mobile App",50,,Cash,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P036,Loyalty Offers,,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,
O0060,$10 off 200 points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",50,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P053,Redemption Offers,,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,5
O0061,35% Off 1000 Points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",100,,Discounts,New Subscribers Offers,FFP,Frequent Flyer Program,Bronze,,,P053,Redemption Offers,,,,,,,,,01-Jan-19,31-Mar-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,3
O0062,30$ off 2800 points,Redemption,Discounts,Redeem points for discounts,"Loyalty  Portal, Mobile App",250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P053,Redemption Offers,,,,,,,,,01-Jun-19,31-Aug-19,,Non Air,WLFF,WeLoveFunFit,E-commerce,20-30,US,New Subscribers  - Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,5
O0063,Summer Target 10,Accruals ,Discounts,10% Discount on your next Target Store Visit,"Loyalty  Portal, Mobile App",100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P061,Target Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,,TC,Target Corp,Retail,All,US,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,10
O0064,Summer Target 15,Accruals ,Discounts,15% Discount on your next Target Store Visit,"Loyalty  Portal, Mobile App",100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P061,Target Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,,TC,Target Corp,Retail,All,US,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,15
O0065,Summer Target 25,Accruals ,Discounts,25% Discount on spending 100 USD,"Loyalty  Portal, Mobile App",250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P061,Target Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,Non Air,TC,Target Corp,Retail,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,25
O0066,Summer Walmart 10,Accruals ,Discounts,10% Discount on your next Walmart Store Visit,"Loyalty  Portal, Mobile App",100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P068,Walmart Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,10
O0067,Summer Walmart 15,Accruals ,Discounts,15% Discount on your next Walmart Store Visit,"Loyalty  Portal, Mobile App",100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P068,Walmart Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,,TC,Walmart Corp,Retail,All,AUS,All,All,,Bronze,"Loyalty  Portal, Mobile App",All,15
O0068,Summer Walmart 25,Accruals ,Discounts,25% Discount on spending 100 USD,"Loyalty  Portal, Mobile App",250,,Discounts,,FFP,Frequent Flyer Program,Gold,,,P068,Walmart Offers,Summer ,May,,Summer,,,,,01-Jan-19,31-Mar-19,,Non Air,TC,Walmart Corp,Retail,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,25
O0069,Starbucks 300,Redemption,Redeem,Gain/Acrue 300 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",250,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,Winter,,,,,,,,01-Jan-19,31-Mar-19,,,SB,Starbucks,,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0070,Starbucks 3k,Redemption,Redeem,Gain/Acrue 30o0 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",250,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,,Anniversary Discounts,,01-Jan-19,31-Mar-19,,Non Air,SB,Starbucks,,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0071,Starbucks 33,Redemption,Redeem,Gain/Acrue 3300 points and redeem your Starbucks Reward,"Loyalty  Portal, Mobile App",300,,Cash,,FFP,Frequent Flyer Program,Gold,,,P058,Starbucks offers,,,,,,Birthday Offers,,,01-Jan-19,31-Mar-19,,Non Air,SB,Starbucks,,All,US,Individuals,All,,Gold,"Loyalty  Portal, Mobile App",All,
O0072,Earn 2x with Chase Sapphire Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P005,Airbnb,Winter 20,Jan,,,Weekend Offers,,,,01-Jan-19,31-Mar-19,,Non Air,AB2,Airbnb,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0073,Earn 3x with Chase Sapphire Preferred,,Points,Earn 3x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P066,Uber,Winter 21,Feb,,,Weekend Offers,,,,01-Jan-19,31-Mar-19,,,UU,Uber,Cab,All,US,Individuals,All,,Bronze,Social Media,All,
O0074,Earn 2x with Chase Platinum  Preferred,,Points,Earn 2x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P012,Barista Coffee,Winter 22,Jan,,,Weekend Offers,,,,01-Jan-19,31-Mar-19,,,BCLA,Barista Coffee,Eat,All,US,Individuals,All,,Bronze,Social Media,All,
O0075,Earn 3x with Chase Platinum Preferred,,Points,Earn 3x Points on All Travel and Dining Purchases [$300],Social Media,100,,Points,,FFP,Frequent Flyer Program,Bronze,,,P028,Expedia,Winter 23,Feb,,,Weekend Offers,,,,01-Jan-19,31-Mar-19,,Non Air,EXP,Expedia,Booking ,All,US,Individuals,All,,Bronze,Social Media,All,
O0076,JULY 4k 15,Accruals ,Discounts,Upto 15% off on Flight Fees,"Loyalty  Portal, Mobile App",100,,Discounts,,FFP,Frequent Flyer Program,Bronze,,,P006,Airline Fare Discounts,Holiday,July,1,Independence Day,,,,,01-Jan-19,31-Mar-19,,Air,LF,Luftanza,Air,All,US,Individuals,All,,Bronze,"Loyalty  Portal, Mobile App",All,15
